source,river,rm_ft,tva_mile_equiv,lat,lon,invert_ft,topbank_ft,channel_depth_ft,wse10,wse50,wse100,wse500,wse_fw,d100_above_invert,datum,vertcon_shift_ft,provenance,note
FRIS-RAS-g01,Cullowhee Creek,13211.0,2.502,35.29315,-83.1815,2115.1,2121.6,6.5,2122.88,2123.89,2124.31,2126.47,2124.98,9.2,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,12666.0,2.399,35.29461,-83.18194,2112.8,2116.9,4.0,2119.77,2120.96,2121.69,2125.56,2122.51,8.8,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,12277.0,2.325,35.29553,-83.18145,2111.3,2114.6,3.3,2118.72,2119.94,2120.87,2125.4,2121.58,9.6,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,11940.0,2.261,35.29643,-83.18126,2109.8,2113.1,3.3,2118.57,2119.75,2120.71,2125.35,2121.21,10.9,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,11874.0,2.249,35.29661,-83.1813,2109.2,2113.6,4.3,2118.52,2119.69,2120.65,2125.33,2121.21,11.4,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,11835.0,2.241,35.29669,-83.18124,2108.2,2114.8,6.6,2117.05,2119.15,2120.47,2125.26,2120.86,12.3,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,11799.0,2.235,35.29677,-83.18112,2109.0,2111.6,2.6,2117.02,2119.11,2120.42,2125.22,2120.77,11.4,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,11601.0,2.197,35.29723,-83.18078,2107.6,2110.6,3.0,2114.38,2117.25,2118.88,2124.49,2119.5,11.2,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,11406.0,2.16,35.29766,-83.18041,2107.4,2109.9,2.5,2115.18,2116.72,2117.35,2119.9,2117.86,9.9,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,11342.0,2.148,35.2978,-83.18029,2106.9,2109.7,2.8,2114.63,2116.05,2116.62,2117.99,2117.39,9.7,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,10847.0,2.054,35.29924,-83.18017,2105.2,2109.2,4.0,2112.96,2114.0,2114.44,2115.48,2115.37,9.2,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,10546.0,1.997,35.29955,-83.18112,2104.2,2109.6,5.4,2111.51,2112.57,2112.99,2113.84,2113.0,8.8,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,10091.0,1.911,35.30099,-83.18125,2098.5,2104.6,6.1,2105.57,2107.06,2107.9,2110.91,2108.37,9.4,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,9705.0,1.838,35.30147,-83.18267,2094.3,2100.8,6.5,2102.53,2105.26,2106.72,2110.66,2107.41,12.4,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,9599.0,1.818,35.30169,-83.18289,2093.3,2099.7,6.3,2102.54,2105.18,2106.6,2110.47,2107.4,13.3,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,9478.0,1.795,35.30196,-83.18312,2093.1,2101.5,8.3,2102.13,2103.87,2104.64,2106.01,2105.41,11.5,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,9312.0,1.764,35.30239,-83.18336,2091.8,2096.9,5.1,2101.53,2103.04,2103.79,2104.92,2104.48,12.0,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,9249.0,1.752,35.30256,-83.18338,2090.7,2094.6,3.9,2101.38,2102.96,2103.73,2104.91,2104.39,13.1,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,9222.0,1.747,35.30263,-83.18341,2091.0,2095.2,4.1,2100.07,2101.29,2101.91,2103.3,2102.44,10.9,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,9166.0,1.736,35.30278,-83.18344,2091.5,2095.5,3.9,2099.8,2100.72,2101.18,2103.18,2102.14,9.7,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,8979.0,1.701,35.30329,-83.18356,2090.5,2092.8,2.3,2099.4,2100.19,2100.72,2102.54,2101.62,10.2,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,8932.0,1.692,35.30342,-83.1836,2090.2,2093.2,3.0,2099.39,2100.18,2100.71,2102.18,2101.63,10.6,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,8920.0,1.689,35.30343,-83.18367,2090.1,2093.7,3.6,2098.37,2099.4,2099.8,2102.21,2100.7,9.7,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,8858.0,1.678,35.3036,-83.18369,2090.0,2093.6,3.6,2098.05,2099.14,2099.53,2100.44,2100.46,9.5,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,8503.0,1.61,35.30455,-83.18384,2088.4,2093.0,4.6,2097.31,2098.36,2098.8,2099.79,2099.58,10.4,NAVD88,0.0,effective-model,
FRIS-RAS-g01,Cullowhee Creek,8280.0,1.568,35.3051,-83.18428,2087.5,2093.0,5.6,2096.97,2097.8,2098.27,2099.12,2099.24,10.8,NAVD88,0.0,effective-model,
