stream,section,mile,position,q10_cfs,wse10_ngvd29_ft,q100_cfs,wse100_ngvd29_ft,q500_cfs,wse500_ngvd29_ft,lat_approx,lon_approx,vertcon_shift_ft,wse10_navd88_ft,wse100_navd88_ft,wse500_navd88_ft,datum_note,note
Tuckasegee,1,33.71,,13195,2001.2,31190,2007.9,51575,2013.4,35.369,-83.253,-0.118,2001.08,2007.78,2013.28,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,2,33.98,,13180,2003.8,31160,2010.6,51515,2016.0,35.36721,-83.25023,-0.122,2003.68,2010.48,2015.88,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,3,34.56,,13145,2008.9,31095,2016.7,51390,2022.6,35.36337,-83.24429,-0.13,2008.77,2016.57,2022.47,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,4,35.27,DS,13110,2014.0,31015,2022.1,51235,2027.5,35.35867,-83.23701,-0.138,2013.86,2021.96,2027.36,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,4,35.27,US,13110,2014.5,31015,2024.2,51235,2029.7,35.35867,-83.23701,-0.138,2014.36,2024.06,2029.56,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,5,35.86,,13075,2017.9,30950,2026.7,51105,2032.5,35.35476,-83.23096,-0.144,2017.76,2026.56,2032.36,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,6,36.38,,13045,2022.5,30895,2029.4,50990,2034.9,35.35131,-83.22563,-0.149,2022.35,2029.25,2034.75,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,7,37.07,DS,13010,2033.1,30820,2039.0,50835,2043.9,35.34674,-83.21856,-0.147,2032.95,2038.85,2043.75,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,7,37.07,US,13010,2033.7,30820,2040.1,50835,2045.5,35.34674,-83.21856,-0.147,2033.55,2039.95,2045.35,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,8,37.54,,12985,2036.9,30765,2043.5,50735,2048.9,35.34363,-83.21374,-0.145,2036.76,2043.36,2048.76,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,9,38.1,,12955,2041.8,30705,2048.6,50610,2053.7,35.33992,-83.208,-0.142,2041.66,2048.46,2053.56,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,row OCR-repaired at zoom
Tuckasegee,10,39.08,,12900,2048.2,30600,2055.5,50395,2061.1,35.33342,-83.19795,-0.137,2048.06,2055.36,2060.96,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,11,39.87,,12855,2054.2,30510,2061.8,50220,2067.6,35.32819,-83.18985,-0.125,2054.07,2061.68,2067.47,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,12,40.34,,12830,2057.7,30460,2065.2,50120,2070.7,35.32508,-83.18504,-0.119,2057.58,2065.08,2070.58,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,13,41.02,DS,12190,2063.3,29085,2071.4,47970,2077.1,35.3198,-83.17799,-0.115,2063.19,2071.29,2076.99,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,13,41.02,US,12190,2063.9,29085,2072.6,47970,2079.7,35.3198,-83.17799,-0.115,2063.79,2072.49,2079.59,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,14,41.13,DS,12185,2064.6,29070,2073.5,47950,2080.4,35.31847,-83.1768,-0.115,2064.49,2073.39,2080.29,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
Tuckasegee,14,41.13,US,12185,2067.3,29070,2073.5,47950,2080.4,35.31847,-83.1768,-0.115,2067.19,2073.39,2080.29,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,US=DS at 100/500-yr (bridge drowned out); VERIFY
Tuckasegee,15,41.56,,12160,2069.8,29025,2076.4,47860,2082.5,35.31326,-83.17215,-0.116,2069.68,2076.28,2082.38,NGVD29 (USC&GS 1936 Suppl. Adj.); VERTCON grid shift,
