datetime_edt,p_in_raw,p_in_scaled10
2024-09-25 11,0.02,0.0277
2024-09-25 12,0.03,0.0416
2024-09-25 13,0.0,0.0
2024-09-25 14,0.01,0.0139
2024-09-25 15,0.06,0.0831
2024-09-25 16,0.18,0.2493
2024-09-25 17,0.24,0.3324
2024-09-25 18,0.07,0.097
2024-09-25 19,0.28,0.3878
2024-09-25 20,0.22,0.3047
2024-09-25 21,0.08,0.1108
2024-09-25 22,0.02,0.0277
2024-09-25 23,0.03,0.0416
2024-09-26 00,0.01,0.0139
2024-09-26 01,0.07,0.097
2024-09-26 02,0.37,0.5125
2024-09-26 03,0.06,0.0831
2024-09-26 04,0.04,0.0554
2024-09-26 05,0.04,0.0554
2024-09-26 06,0.15,0.2078
2024-09-26 07,0.3,0.4155
2024-09-26 08,0.11,0.1524
2024-09-26 09,0.42,0.5817
2024-09-26 10,0.48,0.6648
2024-09-26 11,0.16,0.2216
2024-09-26 12,0.02,0.0277
2024-09-26 13,0.04,0.0554
2024-09-26 14,0.01,0.0139
2024-09-26 15,0.04,0.0554
2024-09-26 16,0.03,0.0416
2024-09-26 17,0.05,0.0693
2024-09-26 18,0.13,0.1801
2024-09-26 19,0.19,0.2632
2024-09-26 20,0.07,0.097
2024-09-26 21,0.25,0.3463
2024-09-26 22,0.38,0.5263
2024-09-26 23,0.1,0.1385
2024-09-27 00,0.12,0.1662
2024-09-27 01,0.23,0.3186
2024-09-27 02,0.36,0.4986
2024-09-27 03,0.28,0.3878
2024-09-27 04,0.33,0.4571
2024-09-27 05,0.39,0.5402
2024-09-27 06,0.22,0.3047
2024-09-27 07,0.28,0.3878
2024-09-27 08,0.12,0.1662
2024-09-27 09,0.12,0.1662
2024-09-27 10,0.01,0.0139
