utc_valid,var,value
2010-12-07T16:00Z,PCIRRZ,7.77
2010-12-07T16:00Z,PPHRRZ,0.0
2010-12-07T17:00Z,PCIRRZ,7.77
2010-12-07T17:00Z,PPHRRZ,0.0
2010-12-07T18:00Z,PCIRRZ,7.77
2010-12-07T18:00Z,PPHRRZ,0.0
2010-12-07T19:00Z,PCIRRZ,7.77
2010-12-07T19:00Z,PPHRRZ,0.0
2010-12-07T20:00Z,PCIRRZ,7.77
2010-12-07T20:00Z,PPHRRZ,0.0
2010-12-07T21:00Z,PCIRRZ,7.77
2010-12-07T21:00Z,PPHRRZ,0.0
2010-12-07T22:00Z,PCIRRZ,7.77
2010-12-07T22:00Z,PPHRRZ,0.0
2010-12-07T23:00Z,PCIRRZ,7.77
2010-12-07T23:00Z,PPHRRZ,0.0
2010-12-08T00:00Z,PCIRRZ,7.77
2010-12-08T00:00Z,PPHRRZ,0.0
2010-12-08T01:00Z,PCIRRZ,7.77
2010-12-08T01:00Z,PPHRRZ,0.0
2010-12-08T02:00Z,PCIRRZ,7.77
2010-12-08T02:00Z,PPHRRZ,0.0
2010-12-08T03:00Z,PCIRRZ,7.77
2010-12-08T03:00Z,PPHRRZ,0.0
2010-12-08T04:00Z,PCIRRZ,7.77
2010-12-08T04:00Z,PPHRRZ,0.0
2010-12-08T05:00Z,PCIRRZ,7.77
2010-12-08T05:00Z,PPHRRZ,0.0
2010-12-08T06:00Z,PCIRRZ,7.77
2010-12-08T06:00Z,PPHRRZ,0.0
2010-12-08T06:30Z,HGIRRZ,0.76
2010-12-08T06:30Z,PPERRZ,0.0
2010-12-08T07:00Z,PCIRRZ,7.77
2010-12-08T07:00Z,PPHRRZ,0.0
2010-12-08T08:00Z,PCIRRZ,7.77
2010-12-08T08:00Z,PPHRRZ,0.0
2010-12-08T09:00Z,PCIRRZ,7.77
2010-12-08T09:00Z,PPHRRZ,0.0
2010-12-08T10:00Z,PCIRRZ,7.77
2010-12-08T10:00Z,PPHRRZ,0.0
2010-12-08T11:00Z,PCIRRZ,7.77
2010-12-08T11:00Z,PPHRRZ,0.0
2010-12-08T12:00Z,PCIRRZ,7.77
2010-12-08T12:00Z,PPHRRZ,0.0
2010-12-08T12:30Z,HGIRRZ,0.74
2010-12-08T13:00Z,PCIRRZ,7.77
2010-12-08T13:00Z,PPHRRZ,0.0
2010-12-08T14:00Z,PCIRRZ,7.77
2010-12-08T14:00Z,PPHRRZ,0.0
2010-12-08T15:00Z,PCIRRZ,7.77
2010-12-08T15:00Z,PPHRRZ,0.0
2010-12-08T16:00Z,PCIRRZ,7.77
2010-12-08T16:00Z,PPHRRZ,0.0
2010-12-08T17:00Z,PCIRRZ,7.77
2010-12-08T17:00Z,PPHRRZ,0.0
2010-12-08T18:00Z,PCIRRZ,7.77
