start,end,peak_time,peak_Ls,peak_cfs,unit_peak_cfs_mi2,volume_m3,runoff_mm
2015-08-14 14:35:00,2015-08-14 14:55:00,2015-08-14 14:45:00,31.9,1.13,6.8,85.0,0.2
2015-10-02 06:50:00,2015-10-02 08:40:00,2015-10-02 07:25:00,38.4,1.36,8.2,436.0,1.01
2015-11-02 05:35:00,2015-11-02 12:40:00,2015-11-02 11:45:00,31.9,1.13,6.8,1042.0,2.42
2015-11-09 06:25:00,2015-11-09 10:00:00,2015-11-09 07:10:00,41.0,1.45,8.7,806.0,1.87
2015-11-18 18:45:00,2015-11-19 00:35:00,2015-11-18 19:10:00,52.1,1.84,11.1,1542.0,3.59
2015-12-01 17:00:00,2015-12-03 01:55:00,2015-12-02 01:40:00,74.5,2.63,15.8,9683.0,22.52
2015-12-24 04:10:00,2015-12-24 18:50:00,2015-12-24 07:00:00,183.8,6.49,39.1,5928.0,13.79
2016-01-15 14:15:00,2016-01-15 17:15:00,2016-01-15 15:30:00,40.1,1.42,8.5,728.0,1.69
2016-02-03 07:45:00,2016-02-03 13:30:00,2016-02-03 08:05:00,73.9,2.61,15.7,1535.0,3.57
2016-02-24 00:40:00,2016-02-25 00:55:00,2016-02-24 08:15:00,46.1,1.63,9.8,5583.0,12.98
2016-08-19 16:30:00,2016-08-19 16:40:00,2016-08-19 16:40:00,27.8,0.98,5.9,32.0,0.07
2016-08-31 16:20:00,2016-08-31 17:10:00,2016-08-31 16:50:00,47.6,1.68,10.1,141.0,0.33
2017-04-23 17:20:00,2017-04-24 00:10:00,2017-04-23 18:40:00,70.1,2.48,14.9,1029.0,2.39
2017-05-23 12:00:00,2017-05-23 12:30:00,2017-05-23 12:10:00,26.8,0.95,5.7,62.0,0.14
2017-07-15 13:30:00,2017-07-15 14:10:00,2017-07-15 13:40:00,77.1,2.72,16.4,158.0,0.37
2017-10-23 12:20:00,2017-10-23 13:50:00,2017-10-23 12:40:00,60.7,2.14,12.9,236.0,0.55
2017-10-28 18:00:00,2017-10-29 00:10:00,2017-10-28 21:00:00,28.2,0.99,6.0,586.0,1.36
2018-01-13 14:10:00,2018-01-13 15:10:00,2018-01-13 14:30:00,32.3,1.14,6.9,97.0,0.23
2018-02-07 09:30:00,2018-02-07 10:50:00,2018-02-07 09:40:00,31.1,1.1,6.6,147.0,0.34
2018-02-10 22:50:00,2018-02-12 06:40:00,2018-02-11 00:10:00,60.1,2.12,12.8,3881.0,9.03
2018-03-01 03:50:00,2018-03-01 16:50:00,2018-03-01 05:00:00,57.4,2.03,12.2,1458.0,3.39
2018-04-15 17:20:00,2018-04-15 18:20:00,2018-04-15 17:30:00,27.5,0.97,5.8,104.0,0.24
2018-05-29 08:50:00,2018-05-30 09:40:00,2018-05-30 09:00:00,31.9,1.13,6.8,1411.0,3.28
2018-05-31 13:50:00,2018-06-01 20:40:00,2018-05-31 14:10:00,184.9,6.53,39.3,4272.0,9.93
2018-06-11 18:40:00,2018-06-11 19:00:00,2018-06-11 18:40:00,29.6,1.05,6.3,51.0,0.12
2018-06-28 06:40:00,2018-06-28 08:50:00,2018-06-28 07:10:00,71.4,2.52,15.2,328.0,0.76
2018-07-16 23:40:00,2018-07-17 00:30:00,2018-07-16 23:50:00,55.2,1.95,11.7,137.0,0.32
2018-08-03 16:20:00,2018-08-03 18:10:00,2018-08-03 16:40:00,115.1,4.06,24.5,373.0,0.87
2018-11-06 07:10:00,2018-11-06 07:50:00,2018-11-06 07:30:00,41.5,1.46,8.8,98.0,0.23
2018-11-12 15:10:00,2018-11-12 18:50:00,2018-11-12 16:40:00,82.2,2.9,17.5,544.0,1.27
2018-12-21 10:10:00,2018-12-21 10:30:00,2018-12-21 10:30:00,26.8,0.95,5.7,47.0,0.11
2018-12-28 01:20:00,2018-12-29 21:00:00,2018-12-28 09:40:00,103.2,3.64,22.0,6873.0,15.98
2019-02-12 14:20:00,2019-02-12 20:40:00,2019-02-12 16:40:00,48.0,1.7,10.2,683.0,1.59
2019-02-17 21:20:00,2019-02-18 07:50:00,2019-02-17 21:40:00,48.5,1.71,10.3,1113.0,2.59
2019-02-19 17:50:00,2019-02-25 10:20:00,2019-02-21 22:50:00,68.9,2.43,14.7,14643.0,34.05
2019-03-03 16:40:00,2019-03-03 19:50:00,2019-03-03 17:00:00,28.5,1.01,6.1,300.0,0.7
2019-04-08 13:40:00,2019-04-08 22:20:00,2019-04-08 21:10:00,32.6,1.15,6.9,689.0,1.6
2019-04-14 12:10:00,2019-04-15 03:10:00,2019-04-14 13:30:00,79.0,2.79,16.8,2111.0,4.91
