peak_time,peak_Ls,runoff_mm,storm_rain_in,antecedent_5d_in,rain_obs_n,censored,runoff_in,runoff_ratio
2015-08-14 14:45:00,31.9,0.2,1.08,0.56,11,False,0.008,0.007
2015-10-02 07:25:00,38.4,1.01,1.91,2.12,71,False,0.04,0.021
2015-11-02 11:45:00,31.9,2.42,2.48,0.68,118,False,0.095,0.038
2015-11-09 07:10:00,41.0,1.87,1.58,0.93,60,False,0.074,0.047
2015-11-18 19:10:00,52.1,3.59,1.58,0.07,64,False,0.141,0.089
2015-12-02 01:40:00,74.5,22.52,2.0,2.99,126,False,0.887,0.444
2015-12-24 07:00:00,183.8,13.79,3.02,1.42,71,True,0.543,0.18
2016-01-15 15:30:00,40.1,1.69,1.3,0.0,55,False,0.067,0.052
2016-02-03 08:05:00,73.9,3.57,1.35,0.0,59,False,0.141,0.104
2016-02-24 08:15:00,46.1,12.98,2.34,2.0,84,False,0.511,0.218
2016-08-19 16:40:00,27.8,0.07,0.64,0.45,12,False,0.003,0.005
2016-08-31 16:50:00,47.6,0.33,0.24,0.36,10,False,0.013,0.054
2017-04-23 18:40:00,70.1,2.39,0.0,0.0,0,False,0.094,
2017-05-23 12:10:00,26.8,0.14,0.0,0.0,0,False,0.006,
2017-07-15 13:40:00,77.1,0.37,0.9,0.14,11,False,0.015,0.017
2017-10-23 12:40:00,60.7,0.55,3.5,0.0,65,False,0.022,0.006
2017-10-28 21:00:00,28.2,1.36,1.91,0.0,105,False,0.054,0.028
2018-01-13 14:30:00,32.3,0.23,0.0,4.66,0,False,0.009,
2018-02-07 09:40:00,31.1,0.34,1.93,1.96,47,False,0.013,0.007
2018-02-11 00:10:00,60.1,9.03,4.17,3.13,89,False,0.356,0.085
2018-03-01 05:00:00,57.4,3.39,2.24,2.91,87,False,0.133,0.059
2018-04-15 17:30:00,27.5,0.24,3.6,0.0,86,False,0.009,0.002
2018-05-30 09:00:00,31.9,3.28,6.06,4.2,130,False,0.129,0.021
2018-05-31 14:10:00,184.9,9.93,1.29,11.47,10,True,0.391,0.303
2018-06-11 18:40:00,29.6,0.12,0.0,0.56,2,False,0.005,
2018-06-28 07:10:00,71.4,0.76,0.0,2.64,2,False,0.03,
2018-07-16 23:50:00,55.2,0.32,0.0,3.07,2,False,0.013,
2018-08-03 16:40:00,115.1,0.87,2.48,0.0,22,False,0.034,0.014
2018-11-06 07:30:00,41.5,0.23,1.23,2.48,20,False,0.009,0.007
2018-11-12 16:40:00,82.2,1.27,3.32,1.06,85,False,0.05,0.015
2018-12-21 10:30:00,26.8,0.11,2.04,2.2,64,False,0.004,0.002
2018-12-28 09:40:00,103.2,15.98,6.43,0.16,141,False,0.629,0.098
2019-02-12 16:40:00,48.0,1.59,3.38,2.42,57,False,0.063,0.019
2019-02-17 21:40:00,48.5,2.59,0.58,1.64,23,False,0.102,0.176
2019-02-21 22:50:00,68.9,34.05,6.57,2.22,198,False,1.341,0.204
2019-03-03 17:00:00,28.5,0.7,1.73,2.8,41,False,0.028,0.016
2019-04-08 21:10:00,32.6,1.6,0.42,0.91,15,False,0.063,0.15
2019-04-14 13:30:00,79.0,4.91,2.04,2.15,72,False,0.193,0.095
