kind,basin_id,issued_utc,valid_utc,stage_ft,q_cfs,rp_yr,level,wetness,cn,condition,trend,age_min,fresh,site_id,source,outcome,outcome_ts,outcome_src,outcome_note,rain_in,mrms_in,mrms_valid
obs,CC-SPD-1830,,2026-08-12T02:33:00+00:00,2.43,,,NORMAL,,,Normal,Falling,61.8,1,25380,fiman-live,,,,,,,
model,CC-UP-503,2026-08-12T03:34:46Z,2026-08-12T03:34:46Z,0.1330393759446692,0.0,0.0,NORMAL,0.1445,48.596356635481044,,,,,,noah-live,,,,,,,
model,CC-TIL-705,2026-08-12T03:34:46Z,2026-08-12T03:34:46Z,0.17161395788520717,0.0,0.0,NORMAL,0.1445,48.596356635481044,,,,,,noah-live,,,,,,,
model,CC-MS-1100,2026-08-12T03:34:46Z,2026-08-12T03:34:46Z,0.20148571695154172,0.0,0.0,NORMAL,0.1445,48.596356635481044,,,,,,noah-live,,,,,,,
model,CC-SPD-1830,2026-08-12T03:34:46Z,2026-08-12T03:34:46Z,0.24637955529277195,0.0,0.0,NORMAL,0.1445,48.596356635481044,,,,,,noah-live,,,,,,,
model,CC-COX-097,2026-08-12T03:34:46Z,2026-08-12T03:34:46Z,0.0709986210483231,0.0,0.0,NORMAL,0.1445,51.762744305278844,,,,,,noah-live,,,,,,,
model,CC-LB-171,2026-08-12T03:34:46Z,2026-08-12T03:34:46Z,0.09513568511797797,0.0,0.0,NORMAL,0.1445,50.69372372009528,,,,,,noah-live,,,,,,,
model,CC-WCU-2260,2026-08-12T03:34:46Z,2026-08-12T03:34:46Z,4.0,0.0,0.0,NORMAL,0.1445,49.638380026828,,,,,,noah-live,,,,,,,
model,CC-MOUTH-2340,2026-08-12T03:34:46Z,2026-08-12T03:34:46Z,,0.0,0.0,NORMAL,0.1445,49.638380026828,,,,,,noah-live,,,,,,,
obs,CC-SPD-1830,,2026-08-12T04:33:00+00:00,2.77,,,NORMAL,,,Normal,Rising,53.7,1,25380,fiman-live,,,,,,,
model,CC-UP-503,2026-08-12T05:26:42Z,2026-08-12T05:26:42Z,0.1330393759446692,0.0,0.0,NORMAL,0.1445,48.596356635481044,,,,,,noah-live,,,,,,,
model,CC-TIL-705,2026-08-12T05:26:42Z,2026-08-12T05:26:42Z,0.17161395788520717,0.0,0.0,NORMAL,0.1445,48.596356635481044,,,,,,noah-live,,,,,,,
model,CC-MS-1100,2026-08-12T05:26:42Z,2026-08-12T05:26:42Z,0.20148571695154172,0.0,0.0,NORMAL,0.1445,48.596356635481044,,,,,,noah-live,,,,,,,
