basin_id,Tc_min,wetness,posture,duration,rain_in,note
CC-UP-503,40,0.15,WATCH,1h,3.4,
CC-UP-503,40,0.15,WATCH,2h,3.49,
CC-UP-503,40,0.15,WATCH,3h,3.91,
CC-UP-503,40,0.15,WATCH,6h,4.38,
CC-UP-503,40,0.15,WATCH,12h,4.82,
CC-UP-503,40,0.15,WATCH,24h,5.12,
CC-UP-503,40,0.15,WATCH,48h,5.32,
CC-UP-503,40,0.15,WATCH,TypeII-24h-design,5.06,LEGACY design storm - the shape the old single-column table used
CC-UP-503,40,0.15,WARNING,1h,4.58,
CC-UP-503,40,0.15,WARNING,2h,4.97,
CC-UP-503,40,0.15,WARNING,3h,5.62,
CC-UP-503,40,0.15,WARNING,6h,6.51,
CC-UP-503,40,0.15,WARNING,12h,7.34,
CC-UP-503,40,0.15,WARNING,24h,7.89,
CC-UP-503,40,0.15,WARNING,48h,8.26,
CC-UP-503,40,0.15,WARNING,TypeII-24h-design,6.98,LEGACY design storm - the shape the old single-column table used
CC-UP-503,40,0.15,EMERGENCY,1h,6.39,
CC-UP-503,40,0.15,EMERGENCY,2h,7.27,
CC-UP-503,40,0.15,EMERGENCY,3h,7.97,
CC-UP-503,40,0.15,EMERGENCY,6h,10.1,
CC-UP-503,40,0.15,EMERGENCY,12h,11.51,
CC-UP-503,40,0.15,EMERGENCY,24h,12.55,
CC-UP-503,40,0.15,EMERGENCY,48h,13.28,
CC-UP-503,40,0.15,EMERGENCY,TypeII-24h-design,10.08,LEGACY design storm - the shape the old single-column table used
CC-UP-503,40,0.35,WATCH,1h,2.69,
CC-UP-503,40,0.35,WATCH,2h,2.78,
CC-UP-503,40,0.35,WATCH,3h,3.18,
CC-UP-503,40,0.35,WATCH,6h,3.53,
CC-UP-503,40,0.35,WATCH,12h,3.9,
CC-UP-503,40,0.35,WATCH,24h,4.16,
CC-UP-503,40,0.35,WATCH,48h,4.34,
CC-UP-503,40,0.35,WATCH,TypeII-24h-design,4.02,LEGACY design storm - the shape the old single-column table used
CC-UP-503,40,0.35,WARNING,1h,3.74,
CC-UP-503,40,0.35,WARNING,2h,4.13,
CC-UP-503,40,0.35,WARNING,3h,4.61,
CC-UP-503,40,0.35,WARNING,6h,5.51,
CC-UP-503,40,0.35,WARNING,12h,6.21,
CC-UP-503,40,0.35,WARNING,24h,6.7,
CC-UP-503,40,0.35,WARNING,48h,7.04,
CC-UP-503,40,0.35,WARNING,TypeII-24h-design,5.76,LEGACY design storm - the shape the old single-column table used
CC-UP-503,40,0.35,EMERGENCY,1h,5.39,
CC-UP-503,40,0.35,EMERGENCY,2h,6.25,
CC-UP-503,40,0.35,EMERGENCY,3h,6.78,
CC-UP-503,40,0.35,EMERGENCY,6h,8.83,
