section_id,basin_id,run,ok,lat,lon,station_along_ft,thalweg_elev_ft,bankfull_depth_ft,topbank_depth_ft,d100_above_thalweg_ft
CC-SPD-1830_r0_000,CC-SPD-1830,0,0,35.2829674512369,-83.18616312278276,30.0,2145.06,0.57,2.75,4.15
CC-SPD-1830_r0_001,CC-SPD-1830,0,1,35.283123353710685,-83.18609756234827,90.0,2144.75,1.21,2.36,4.23
CC-SPD-1830_r0_002,CC-SPD-1830,0,1,35.28327925618448,-83.18603200191379,150.0,2144.1,2.12,2.16,4.55
CC-SPD-1830_r0_003,CC-SPD-1830,0,1,35.28343515865827,-83.1859664414793,210.0,2143.87,1.61,1.67,4.11
CC-SPD-1830_r0_004,CC-SPD-1830,0,0,35.28359106113206,-83.18590088104482,270.0,2143.73,0.41,0.91,4.04
CC-SPD-1830_r0_005,CC-SPD-1830,0,1,35.28374696360585,-83.18583532061034,330.0,2142.66,0.9,1.8,4.4
CC-SPD-1830_r0_006,CC-SPD-1830,0,1,35.283902866079636,-83.18576976017584,390.0,2142.67,1.21,2.08,4.54
CC-SPD-1830_r0_007,CC-SPD-1830,0,1,35.28405876855343,-83.18570419974137,450.0,2141.68,2.02,2.09,4.71
CC-SPD-1830_r0_008,CC-SPD-1830,0,1,35.28419603363789,-83.18560367205953,510.0,2141.12,2.23,2.83,4.72
CC-SPD-1830_r0_009,CC-SPD-1830,0,1,35.28430776240508,-83.1854552334441,570.0,2141.16,2.17,2.27,4.48
CC-SPD-1830_r0_010,CC-SPD-1830,0,1,35.28441290425684,-83.18530128792595,630.0,2140.47,1.02,2.68,4.43
CC-SPD-1830_r0_011,CC-SPD-1830,0,1,35.284485057786235,-83.18511976296122,690.0,2140.17,0.88,1.68,4.56
CC-SPD-1830_r0_012,CC-SPD-1830,0,1,35.28455721131562,-83.18493823799648,750.0,2139.89,1.42,3.15,4.71
CC-SPD-1830_r0_013,CC-SPD-1830,0,1,35.28462936484502,-83.18475671303175,810.0,2139.83,1.96,2.42,4.82
CC-SPD-1830_r0_014,CC-SPD-1830,0,1,35.284701518374405,-83.184575188067,870.0,2139.29,1.52,2.87,4.9
CC-SPD-1830_r1_015,CC-SPD-1830,1,1,35.28249084204518,-83.18614938140536,30.0,2145.9,1.45,1.54,4.25
CC-SPD-1830_r1_016,CC-SPD-1830,1,1,35.282654934135536,-83.18616853021605,90.0,2145.48,1.97,2.75,4.31
CC-SPD-1830_r1_017,CC-SPD-1830,1,1,35.28281902622589,-83.18618767902676,150.0,2145.4,1.05,1.05,4.11
CC-TIL-705_r0_000,CC-TIL-705,0,1,35.281035605819355,-83.1913648723025,150.0,2167.17,1.76,2.15,5.09
CC-TIL-705_r0_001,CC-TIL-705,0,1,35.28137353235905,-83.19047729896823,450.0,2162.32,3.39,8.85,6.08
CC-TIL-705_r0_002,CC-TIL-705,0,0,35.282002093010334,-83.18982436330238,750.0,2158.38,1.67,9.04,4.88
CC-TIL-705_r0_003,CC-TIL-705,0,1,35.28199754089237,-83.18889968880013,1050.0,2155.75,1.53,2.53,4.96
